Refinamentos:,Mês/Ano fechamento:,2025/06
PK Dataset Chamados,Analista Responsável,Apontamentos - Tempo total em horas,Apontamentos - Tempo total em minutos,Categoria,Categoria (Ord.),Categoria 1,Categoria 2,Categoria 3,Centro de Custo do solicitante - código,Centro de Custo do solicitante - descrição,Centro de Custo do solicitante - qtd. Integrantes,Data criação,Data fechamento,Data/Hora criação,Data/Hora fechamento,Faixa de idade do chamado,Flag Atendeu SLA,Flag Em Aberto,Flag Indisponibilidade,Flag Retrabalho,Flag solicitante igual atendente,Grupo Solucionador,Hora abertura,Hora fechamento,Local usuário,Mês/Ano abertura,Mês/Ano fechamento,Núm. Requisição,Pesquisa de satisfação - comentário,Pesquisa de satisfação - nota,Pesquisa de satisfação - pergunta,Pesquisa de satisfação - resposta,PK Dataset Chamados,Prioridade,Semana abertura,Semana Ano abertura,Semana Ano fechamento,Semana fechamento,SLA Descrição,SLA Tempo hora,SLA Tipo,Solicitante (Usuário abertura),Status (código),Status (descrição),Sub-tipo da categoria,Tempo Aguard. Aprov. (Horas),Tempo Aguard. Atend. (Horas),Tempo Aguard. Fornec. (Horas),Tempo Aguard. Usuário (Horas),Tempo Em Atend. (Horas),Tempo Novo (Horas),Tempo para SLA (Horas),Tempo Pend. Cham. (Horas),Tempo Resolvido (Horas),Tempo Total menos Resolvido (Horas),Título requisição,Urgência,
166686,mateush,1.250000,75.000000,SERVICO,2-SERVICO,INFRA,IMPRESSORA,Solicitação de Serviço,030201,SUSTENTABILIDADE,42,2025-04-30T18:21:14.000Z,2025-06-04T14:51:19.000Z,30/04/2025 15:21,04/06/2025 11:51,31-45 dias,NAO ATENDEU,FECHADO,NAO SE APLICA,NAO SE APLICA,NÃO,FIELD,15,11,LOCAL NAO INFORMADO,2025/04,2025/06,166686,,,,,166686,Baixa,4 - QUA,2025-04-28T03:00:00.000Z,2025-06-02T03:00:00.000Z,4 - QUA,Horas Úteis,80.000000,1.000000,valeriaborges,8,Encerrado pelo sistema,Formulario Solicitação - Infra - Solicitação Impressora,,,183.760000,,0.030000,38.950000,221.910000,,27.030000,221.910000,Cartucho da impressora ploter acabou,Baixa,
166765,guilhermepa,5.000000,300.000000,SERVICO,2-SERVICO,INFRA,RÁDIO (PTT),Solicitação de Serviço,040801,TECNOLOGIA DE INFORMACAO,37,2025-05-05T18:54:17.000Z,2025-06-17T19:57:18.000Z,05/05/2025 15:54,17/06/2025 16:57,31-45 dias,NAO ATENDEU,FECHADO,NAO SE APLICA,NAO SE APLICA,NÃO,FIELD,15,16,LOCAL NAO INFORMADO,2025/05,2025/06,166765,,,,,166765,Baixa,2 - SEG,2025-05-05T03:00:00.000Z,2025-06-16T03:00:00.000Z,3 - TER,Horas Úteis,80.000000,1.000000,silass,7,Resolvido,Formulario Solicitação - Infra - Solicitação Padrão,,,,,187.250000,106.680000,280.810000,,19.070000,280.810000,Rádio | Retorno da manutenção,Baixa,
166859,none,,,SERVICO,2-SERVICO,INFRA,BANCO DE DADOS ORACLE,Aplicação de patch Oracle,040801,TECNOLOGIA DE INFORMACAO,37,2025-05-08T15:08:40.000Z,2025-06-02T18:41:40.000Z,08/05/2025 12:08,02/06/2025 15:41,16-30 dias,NAO ATENDEU,FECHADO,NAO SE APLICA,NAO SE APLICA,NÃO,EBSDBA,12,15,PORTO VELHO,2025/05,2025/06,166859,,,,,166859,Baixa,5 - QUI,2025-05-05T03:00:00.000Z,2025-06-02T03:00:00.000Z,2 - SEG,Horas Corridas,32.000000,2.000000,alexandresilva,8,Encerrado pelo sistema,Formulario Solicitação - Padrão,0.000000,0.000000,0.000000,0.000000,59.770000,0.130000,59.080000,0.000000,0.000000,59.080000,Patch Reforma tribuitária.,Baixa,
166972,none,,,SERVICO,2-SERVICO,INFRA,REDE,Solicitação de Serviço,040801,TECNOLOGIA DE INFORMACAO,37,2025-05-14T12:12:20.000Z,2025-06-05T18:51:38.000Z,14/05/2025 09:12,05/06/2025 15:51,16-30 dias,NAO ATENDEU,FECHADO,NAO SE APLICA,NAO SE APLICA,NÃO,EBSDBA,09,15,LOCAL NAO INFORMADO,2025/05,2025/06,166972,,,,,166972,Baixa,4 - QUA,2025-05-12T03:00:00.000Z,2025-06-02T03:00:00.000Z,5 - QUI,Horas Úteis,80.000000,1.000000,silass,8,Encerrado pelo sistema,Formulario Solicitação - Padrão,,,,,155.810000,0.140000,150.950000,,,150.950000,Transferir as configurações do SWITCH da metal mecanica,Baixa,
167005,joaoni,1.000000,60.000000,SERVICO,2-SERVICO,INFRA,REDE,Solicitação de Serviço,020402,OPERACAO,177,2025-05-15T11:28:48.000Z,2025-06-04T15:27:10.000Z,15/05/2025 08:28,04/06/2025 12:27,16-30 dias,NAO ATENDEU,FECHADO,NAO SE APLICA,NAO SE APLICA,NÃO,FIELD,08,12,PORTO VELHO,2025/05,2025/06,167005,,,,,167005,Baixa,5 - QUI,2025-05-12T03:00:00.000Z,2025-06-02T03:00:00.000Z,4 - QUA,Horas Úteis,80.000000,1.000000,joseeudes,8,Encerrado pelo sistema,Formulario Solicitação - Padrão,,,,,85.660000,50.410000,129.740000,,27.020000,129.740000,Ponto de internet na sala de controle GG1 - Operação,Baixa,
167034,rodrigot,,,SERVICO,2-SERVICO,SISTEMAS,EBS-Entrada de Notas (RI),Solicitação de Serviço,040301,CONTROLADORIA,48,2025-05-16T12:21:21.000Z,2025-06-06T19:16:08.000Z,16/05/2025 09:21,06/06/2025 16:16,16-30 dias,NAO ATENDEU,FECHADO,NAO SE APLICA,NAO SE APLICA,NÃO,ERPN,09,16,LOCAL NAO INFORMADO,2025/05,2025/06,167034,,,,,167034,Baixa,6 - SEX,2025-05-12T03:00:00.000Z,2025-06-02T03:00:00.000Z,6 - SEX,Horas Úteis,40.000000,1.000000,gustavosouza,8,Encerrado pelo sistema,Formulario Solicitação - Padrão,,,136.090000,,4.380000,2.320000,142.300000,,27.050000,142.300000,Manifestação do destinatário,Baixa,
167045,luang,0.060000,4.000000,SERVICO,2-SERVICO,INFRA,E-MAIL,Outros,N/D,NÃO DEFINIDO,403,2025-05-16T13:24:18.000Z,2025-06-09T11:28:23.000Z,16/05/2025 10:24,09/06/2025 08:28,16-30 dias,NAO ATENDEU,FECHADO,NAO SE APLICA,NAO SE APLICA,NÃO,FIELD,10,08,LOCAL NAO INFORMADO,2025/05,2025/06,167045,,,,,167045,Normal,6 - SEX,2025-05-12T03:00:00.000Z,2025-06-09T03:00:00.000Z,2 - SEG,Horas Úteis,80.000000,1.000000,rafael.dias,8,Encerrado pelo sistema,Formulario Solicitação - Padrão,,,,10.900000,133.460000,7.350000,132.090000,,27.060000,142.990000,Limite arquivo morto no E-mail,Baixa,
167083,rodrigot,,,INCIDENTE,1-INCIDENTE,SISTEMAS,Mastersaf - Obrigações Fiscais,Erro de sistema,040301,CONTROLADORIA,48,2025-05-19T12:02:14.000Z,2025-06-13T17:17:12.000Z,19/05/2025 09:02,13/06/2025 14:17,16-30 dias,NAO ATENDEU,FECHADO,NAO SE APLICA,NAO SE APLICA,NÃO,ERPN,09,14,LOCAL NAO INFORMADO,2025/05,2025/06,167083,,4,Como voce avalia o atendimento prestado?,Otimo,167083,Normal,2 - SEG,2025-05-19T03:00:00.000Z,2025-06-09T03:00:00.000Z,6 - SEX,Horas Úteis,16.000000,1.000000,ricardomoliveira,8,Encerrado pelo sistema,Formulario Incidente - Sistemas - Erro Sistemas,,101.460000,41.110000,,11.070000,28.340000,175.910000,,27.010000,175.910000,R4099 - Evento fechamento,Baixa,
167088,gabrieljaraujo,0.000000,0.000000,SERVICO,2-SERVICO,INFRA,VPN,Segurança - Gestão de Acesso,020405,"MANUTENCAO DE SISTEMA DE TRANSMISSAO, AUTOMACAO E AUXILIARES",105,2025-05-19T12:42:35.000Z,2025-06-10T18:04:28.000Z,19/05/2025 09:42,10/06/2025 15:04,16-30 dias,ATENDEU O SLA,FECHADO,NAO SE APLICA,NAO SE APLICA,NÃO,SEGURANÇA DA INFORMAÇÃO,09,15,PORTO VELHO,2025/05,2025/06,167088,,,,,167088,Normal,2 - SEG,2025-05-19T03:00:00.000Z,2025-06-09T03:00:00.000Z,3 - TER,Horas Úteis,80.000000,1.000000,adrielytonsantos,8,Encerrado pelo sistema,Formulario Solicitação - Padrão,,48.180000,,80.130000,0.000000,2.350000,45.370000,,,125.500000,AQTech não esta funcionando na VPN,Baixa,
167093,joaoni,1.000000,60.000000,SERVICO,2-SERVICO,INFRA,MÁQUINAS E PERIFÉRICOS,Solicitação de Equipamento,020402,OPERACAO,177,2025-05-19T13:42:11.000Z,2025-06-06T15:58:47.000Z,19/05/2025 10:42,06/06/2025 12:58,16-30 dias,NAO ATENDEU,FECHADO,NAO SE APLICA,NAO SE APLICA,NÃO,FIELD,10,12,PORTO VELHO,2025/05,2025/06,167093,,,,,167093,Baixa,2 - SEG,2025-05-19T03:00:00.000Z,2025-06-02T03:00:00.000Z,6 - SEX,Horas Úteis,80.000000,1.000000,luann,8,Encerrado pelo sistema,Formulario Solicitação - Padrão,,,,,0.000000,137.500000,128.480000,,27.080000,128.480000,Ajustar o Veyon,Baixa,
